,air,arrang,channel,compris,configur,connect,cool,devic,direct,extend,flow,fluid,form,includ,inlet,invent,outlet,plate,plural,provid,relat,second,structur,surfac,use
73,-0.06792906862877762,-0.02949844113560643,-0.034595790035023784,-0.017637618257532763,-0.0,-0.0076681847996093325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006851573830437096,-0.0,-0.017974640918648598,-0.006950197640524456,-0.008899656033587203,-0.010922098707926908,-0.0,-0.0,-0.0,-0.0,-0.009077204471789233,-0.0,-0.008987320459324299
74,-0.0,-0.0555907507100855,-0.0,-0.008863640716170108,-0.0,-0.0,-0.0,-0.0398651034597785,-0.0,-0.0,-0.0,-0.0,-0.020659214147818742,-0.0,-0.013549513044684545,-0.010478294839895146,-0.0,-0.016466433970856117,-0.03524572161827745,-0.01025678397268446,-0.0,-0.0,-0.0,-0.02709902608936909,-0.0
75,-0.0,-0.00935591616567062,-0.0,-0.007458747939526134,-0.0,-0.0291850923775426,-0.011401906478367661,-0.011182152940351367,-0.045162758463485754,-0.0,-0.03686061207829804,-0.0,-0.0,-0.0,-0.0,-0.008817478342080774,-0.0,-0.04156948066297584,-0.0,-0.008631077090349503,-0.0,-0.0,-0.011515939254728977,-0.0,-0.034205719435102984
76,-0.061552881931579276,-0.007127882465392382,-0.0,-0.008523763634235026,-0.0,-0.0,-0.0,-0.046855688691107754,-0.0,-0.0,-0.0,-0.0,-0.006622344922134123,-0.0,-0.0,-0.003358834567912656,-0.025805717081066618,-0.015835027113662394,-0.0,-0.0,-0.0,-0.02706537206435306,-0.004386757001280953,-0.0,-0.0
77,-0.02243961024341739,-0.05846688628888188,-0.0,-0.015537041301482847,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018106728022338668,-0.0,-0.0,-0.01836736222843095,-0.0,-0.043295921995111765,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023750888662058465,-0.023750888662058465
78,-0.06245961744712196,-0.010849324955036283,-0.0,-0.012973990796949268,-0.0,-0.011281223753320361,-0.0,-0.0,-0.0065464652760846235,-0.0064835345250280185,-0.0,-0.0,-0.010079848029678812,-0.0,-0.013221900057702927,-0.005112470340865428,-0.045825256932592366,-0.02811951257694533,-0.0,-0.0,-0.0,-0.015448540536801779,-0.0,-0.0,-0.0
79,-0.0,-0.0,-0.0,-0.010742855287994207,-0.0,-0.04203536927654939,-0.0,-0.024158528714280217,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012699838445005135,-0.0,-0.009978772996490226,-0.0,-0.012431364206555775,-0.0,-0.07035521367113126,-0.0,-0.0,-0.0
80,-0.06361725942096935,-0.05525204511469063,-0.0,-0.014682726606933852,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011222465015377379,-0.008678710214435632,-0.0,-0.01363842217476951,-0.0,-0.0,-0.0,-0.0,-0.011334703161318078,-0.0,-0.0
81,-0.07769192530820868,-0.009639427595698281,-0.0,-0.01536953932559577,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.008955761363994091,-0.0,-0.0,-0.009084673542394119,-0.03489849090045601,-0.007138192774603834,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005873708678281544
82,-0.0,-0.0,-0.0,-0.011589266264032987,-0.008946627998798062,-0.015115754424472001,-0.044290184883161686,-0.008687312460588702,-0.0,-0.0,-0.035795840962029334,-0.014878500621313653,-0.0,-0.0,-0.03543214790652935,-0.006850218368567795,-0.035086534448890254,-0.0,-0.0,-0.006705404939036619,-0.0,-0.034499263270982544,-0.008946627998798062,-0.0,-0.0
83,-0.0,-0.0,-0.0,-0.0,-0.02766165192532262,-0.01168391983925601,-0.0,-0.0,-0.013560297568556453,-0.0,-0.0,-0.02875132853215524,-0.0,-0.011411117137574018,-0.034234676967422696,-0.0,-0.03390074392139113,-0.024962803280320207,-0.0,-0.0,-0.0,-0.0533333124172701,-0.0,-0.0,-0.0
84,-0.0,-0.013634829950278605,-0.0,-0.010869994770858458,-0.0,-0.0,-0.0,-0.0,-0.03290893808960265,-0.0,-0.026859377994156837,-0.027910174857888378,-0.025335588044217042,-0.0,-0.0,-0.02570027684208483,-0.0,-0.0,-0.028815909997109444,-0.0,-0.0,-0.0,-0.05034820877257601,-0.016616550767305817,-0.0
85,-0.06667195739490399,-0.0,-0.0,-0.046163232982141596,-0.0,-0.020070068207950886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018190868419234202,-0.0,-0.014293295725817218,-0.0,-0.0178063139568499,-0.0,-0.0,-0.0,-0.0,-0.0
86,-0.06338791003476954,-0.005505285353132665,-0.0,-0.008777875957215431,-0.0,-0.017173332760874762,-0.0,-0.0,-0.0,-0.013159789315960194,-0.0,-0.0,-0.0,-0.0,-0.02012761154171156,-0.0,-0.03321880351872983,-0.012230328328022623,-0.0,-0.0203150782652846,-0.0,-0.03135628227452116,-0.01355260790797832,-0.0,-0.0
87,-0.06888039143019241,-0.024926297055350728,-0.0,-0.0039743615378641465,-0.0,-0.0,-0.0425281954201273,-0.0,-0.012032390130114097,-0.0,-0.004910254378277915,-0.0,-0.0,-0.0,-0.0,-0.009396710297182219,-0.018048585195171146,-0.0,-0.0,-0.004599032048856819,-0.006075456488589614,-0.0,-0.0,-0.0,-0.0
88,-0.0,-0.01741547340416991,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04162980592934602,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03537189855229449,-0.0,-0.0,-0.0,-0.038689539970846835,-0.0,-0.04819868760727004,-0.0,-0.016532128217926368,-0.0,-0.0,-0.02122396091570914
89,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026724002044859748,-0.0,-0.01090570091452281,-0.0,-0.030860991542384145,-0.011244248740742249,-0.0,-0.0,-0.0,-0.0,-0.023400221410685616,-0.0,-0.0,-0.0,-0.06814286696873849,-0.0,-0.026987241914335387
91,-0.0,-0.0,-0.03615216961532408,-0.0,-0.028456696785783664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.070986462307033,-0.021479427901410605,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014630988336121942,-0.0,-0.0,-0.0
